tid,sid,latitude,longitude,time,direction_inference,speed_inference_m_s,label
2,10,2.604,-31.728,2004-04-23 08:30:00,20.07,2.69,FISHING
2,10,2.56,-31.763,2004-04-23 09:00:00,29.7,3.47,FISHING
2,10,2.476,-31.776,2004-04-23 09:49:00,5.43,3.21,FISHING
2,10,2.459,-31.777,2004-04-23 10:00:00,11.9,2.87,FISHING
2,10,2.439,-31.774,2004-04-23 10:13:00,91.23,2.88,FISHING
2,10,2.434,-31.813,2004-04-23 10:41:00,13.16,2.6,FISHING
2,10,2.438,-31.852,2004-04-23 11:00:00,12.58,3.82,FISHING
2,10,2.475,-31.963,2004-04-23 12:00:00,13.47,3.61,FISHING
2,10,2.477,-31.986,2004-04-23 12:15:00,7.83,2.85,FISHING
2,10,2.475,-32.026,2004-04-23 13:00:00,34.15,1.65,FISHING
2,10,2.426,-32.091,2004-04-23 14:02:00,26.17,2.43,FISHING
2,10,2.335,-32.137,2004-04-23 15:00:00,20.16,3.26,FISHING
2,10,2.307,-32.167,2004-04-23 15:17:00,1.25,4.47,FISHING
2,11,2.24,-32.242,2004-04-23 16:00:00,26.25,4.33,NOT_FISHING
2,11,2.205,-32.368,2004-04-23 16:56:00,5.09,4.32,NOT_FISHING
2,11,2.177,-32.52,2004-04-23 18:00:00,1.2,4.47,NOT_FISHING
2,11,2.1630000000000003,-32.588,2004-04-23 18:30:00,0.32,4.29,NOT_FISHING
2,11,2.149,-32.658,2004-04-23 19:00:00,1.53,4.41,NOT_FISHING
2,11,2.144,-32.687,2004-04-23 19:12:00,9.78,4.54,NOT_FISHING
2,12,2.144,-32.815,2004-04-23 20:08:00,29.44,4.23,FISHING
2,12,2.201,-32.916,2004-04-23 20:55:00,2.65,4.57,FISHING
2,12,2.238,-32.975,2004-04-23 21:23:00,1.02,4.61,FISHING
2,12,2.285,-33.053000000000004,2004-04-23 22:00:00,37.2,4.56,FISHING
2,12,2.272,-33.174,2004-04-23 23:02:00,23.23,3.63,FISHING
2,12,2.2880000000000003,-33.226,2004-04-23 23:25:00,0.05,4.38,FISHING
2,12,2.311,-33.301,2004-04-24 00:00:00,56.52,4.15,FISHING
2,12,2.227,-33.403,2004-04-24 00:59:00,151.84,4.15,FISHING
2,12,2.246,-33.308,2004-04-24 02:00:00,4.4,2.94,FISHING
2,12,2.258,-33.209,2004-04-24 02:47:00,1.01,3.93,FISHING
2,12,2.261,-33.18,2004-04-24 03:00:00,8.76,4.15,FISHING
2,12,2.289,-33.073,2004-04-24 03:52:00,3.97,3.94,FISHING
2,12,2.316,-32.93,2004-04-24 05:00:00,17.03,3.96,FISHING
2,12,2.311,-32.885,2004-04-24 05:22:00,3.12,3.81,FISHING
2,12,2.306,-32.855,2004-04-24 05:36:00,1.65,4.02,FISHING
2,12,2.299,-32.804,2004-04-24 06:00:00,33.02,3.97,FISHING
2,12,2.229,-32.723,2004-04-24 07:00:00,159.39,3.31,FISHING
